City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Time
0,serowe,-22.3833,26.7167,16.79,29,0,1.71,BW,2023-06-05,18:30:00
1,sindgi,16.9167,76.2333,28.81,54,56,8.61,IN,2023-06-05,18:30:00
2,mount gambier,-37.8333,140.7667,14.17,84,34,4.77,AU,2023-06-05,18:30:00
3,jamestown,42.097,-79.2353,20.01,45,0,2.06,US,2023-06-05,18:25:23
4,grytviken,-54.2811,-36.5092,2.36,97,100,2.04,GS,2023-06-05,18:30:00
5,edinburgh of the seven seas,-37.0676,-12.3116,12.01,78,100,10.88,SH,2023-06-05,18:25:30
6,qaqortoq,60.7167,-46.0333,3.07,80,94,1.11,GL,2023-06-05,18:30:01
7,adamstown,-25.066,-130.1015,20.78,64,52,9.67,PN,2023-06-05,18:30:01
8,punta arenas,-53.15,-70.9167,3.06,93,0,4.12,CL,2023-06-05,18:22:37
9,port-aux-francais,-49.35,70.2167,2.84,63,58,16.19,TF,2023-06-05,18:30:01
10,celestun,20.8667,-90.4,28.47,73,59,6.7,MX,2023-06-05,18:30:02
11,mount pleasant,32.7941,-79.8626,25.66,68,0,2.57,US,2023-06-05,18:26:11
12,waitangi,-43.9535,-176.5597,10.46,82,100,0.89,NZ,2023-06-05,18:30:02
13,thinadhoo,0.5333,72.9333,28.26,72,100,1.26,MV,2023-06-05,18:30:02
14,albany,42.6001,-73.9662,20.36,51,100,2.89,US,2023-06-05,18:27:29
15,bredasdorp,-34.5322,20.0403,8.44,75,51,1.86,ZA,2023-06-05,18:30:03
16,al bawiti,28.3492,28.8659,23.12,34,30,4.09,EG,2023-06-05,18:30:03
17,madalena,41.2162,-8.3345,19.75,80,85,1.12,PT,2023-06-05,18:30:04
18,nemuro,43.3236,145.575,11.35,79,2,1.22,JP,2023-06-05,18:30:04
19,kill devil hills,36.0307,-75.676,21.0,74,0,3.09,US,2023-06-05,18:30:04
20,sumbe,-11.2061,13.8437,21.59,92,16,1.36,AO,2023-06-05,18:30:04
21,west island,-12.1568,96.8225,25.99,78,75,6.17,CC,2023-06-05,18:30:04
22,laela,-8.5667,32.05,14.0,78,53,1.5,TZ,2023-06-05,18:30:05
23,quellon,-43.1167,-73.6167,12.14,82,75,6.17,CL,2023-06-05,18:30:05
24,luderitz,-26.6481,15.1594,14.11,53,0,0.09,NA,2023-06-05,18:30:05
25,kenai,60.5544,-151.2583,21.05,27,20,6.17,US,2023-06-05,18:30:05
26,wailua homesteads,22.0669,-159.378,26.59,72,0,4.12,US,2023-06-05,18:30:06
27,margaret river,-33.95,115.0667,10.74,71,100,10.49,AU,2023-06-05,18:28:52
28,sabang,5.8933,95.3214,28.44,73,100,8.88,ID,2023-06-05,18:30:06
29,puerto natales,-51.7236,-72.4875,0.69,93,52,1.55,CL,2023-06-05,18:30:06
30,lebu,-37.6167,-73.65,12.88,90,99,4.0,CL,2023-06-05,18:27:49
31,valdivia,-39.8142,-73.2459,14.05,96,100,4.19,CL,2023-06-05,18:28:12
32,sao francisco,-15.9486,-44.8644,18.91,35,1,1.32,BR,2023-06-05,18:30:07
33,aasiaat,68.7098,-52.8699,-1.07,83,93,4.2,GL,2023-06-05,18:30:07
34,san antonio de pale,-1.4014,5.6325,25.02,86,80,5.62,GQ,2023-06-05,18:30:07
35,khandyga,62.6667,135.6,16.27,54,90,2.76,RU,2023-06-05,18:30:08
36,lospalos,-8.5186,127.0025,24.83,67,46,3.62,TL,2023-06-05,18:30:08
37,yellowknife,62.456,-114.3525,21.29,56,75,3.6,CA,2023-06-05,18:24:31
38,swan hill,-35.3378,143.5544,15.54,84,92,5.06,AU,2023-06-05,18:30:08
39,bilibino,68.0546,166.4372,12.14,52,100,2.26,RU,2023-06-05,18:30:08
40,mahina,-17.5065,-149.489,28.87,61,40,4.12,PF,2023-06-05,18:30:08
41,kismayo,-0.3582,42.5454,26.14,81,44,6.36,SO,2023-06-05,18:30:09
42,santana,-0.0583,-51.1817,28.1,83,20,3.09,BR,2023-06-05,18:30:09
43,hilo,19.7297,-155.09,29.04,72,40,5.14,US,2023-06-05,18:30:09
44,georgetown,5.4112,100.3354,26.96,89,40,3.09,MY,2023-06-05,18:29:06
45,talnakh,69.4865,88.3972,9.56,64,100,4.28,RU,2023-06-05,18:30:09
46,zhanaozen,43.3,52.8,21.9,63,48,3.14,KZ,2023-06-05,18:30:10
47,port hueneme,34.1478,-119.1951,21.08,71,100,5.14,US,2023-06-05,18:26:03
48,cuenca,-2.8833,-78.9833,17.07,63,75,3.09,EC,2023-06-05,18:30:10
49,rio grande,-32.035,-52.0986,12.06,72,68,1.8,BR,2023-06-05,18:30:10
50,ribeira grande,38.5167,-28.7,18.21,87,100,5.81,PT,2023-06-05,18:30:10
51,tamanrasset,22.785,5.5228,23.95,16,0,2.06,DZ,2023-06-05,18:30:10
52,keflavik,64.0049,-22.5624,7.95,76,75,5.14,IS,2023-06-05,18:30:11
53,blackmans bay,-43.0167,147.3167,10.41,87,79,4.43,AU,2023-06-05,18:30:11
54,itaituba,-4.2761,-55.9836,25.1,78,21,0.62,BR,2023-06-05,18:30:11
55,perry,37.2506,-83.1999,28.1,64,61,1.78,US,2023-06-05,18:30:11
56,utrik,11.2278,169.8474,26.92,81,97,9.6,MH,2023-06-05,18:30:11
57,tyukhtet,56.5389,89.3011,21.97,61,0,0.92,RU,2023-06-05,18:30:12
58,hailar,49.2,119.7,16.24,30,38,2.71,CN,2023-06-05,18:30:12
59,leninsk,48.7119,45.1994,13.51,75,55,3.44,RU,2023-06-05,18:30:12
60,matozinhos,-19.5578,-44.0814,19.24,59,0,4.12,BR,2023-06-05,18:30:12
61,nizhniy kuranakh,58.8353,125.4869,9.83,60,85,3.19,RU,2023-06-05,18:30:12
62,ilulissat,69.2167,-51.1,0.01,74,75,6.17,GL,2023-06-05,18:30:12
63,stanley,54.868,-1.6985,10.85,88,75,1.54,GB,2023-06-05,18:20:41
64,general roca,-39.0333,-67.5833,14.79,24,98,4.63,AR,2023-06-05,18:30:13
65,kingston,17.997,-76.7936,30.12,79,20,3.6,JM,2023-06-05,18:21:33
66,ust-nera,64.5667,143.2,15.98,33,55,1.79,RU,2023-06-05,18:30:13
67,namibe,-15.1961,12.1522,19.78,63,3,4.65,AO,2023-06-05,18:30:13
68,bethel,41.3712,-73.414,22.09,55,100,2.57,US,2023-06-05,18:30:13
69,afaahiti,-17.75,-149.2833,27.93,72,35,4.22,PF,2023-06-05,18:30:13
70,palmer,42.1584,-72.3287,19.65,66,75,0.0,US,2023-06-05,18:30:14
71,ushuaia,-54.8,-68.3,2.81,87,0,1.54,AR,2023-06-05,18:30:14
72,isafjordur,66.0755,-23.124,5.85,89,100,0.92,IS,2023-06-05,18:30:14
73,semirom,31.4167,51.5667,14.41,29,5,1.31,IR,2023-06-05,18:30:14
74,san rafael del sur,11.8485,-86.4384,30.54,81,92,2.31,NI,2023-06-05,18:30:14
75,hermanus,-34.4187,19.2345,6.56,70,27,2.34,ZA,2023-06-05,18:30:15
76,riacho de santana,-13.6092,-42.9389,20.7,44,0,2.6,BR,2023-06-05,18:30:15
77,thompson,55.7435,-97.8558,26.09,53,75,3.09,CA,2023-06-05,18:30:15
78,alaghsas,17.0187,8.0168,32.95,14,28,3.64,NE,2023-06-05,18:30:15
79,mountain home,43.133,-115.6912,27.71,32,40,4.12,US,2023-06-05,18:30:15
80,port lincoln,-34.7333,135.8667,15.23,66,0,7.14,AU,2023-06-05,18:25:21
81,borisoglebskiy,57.2586,39.1508,6.37,90,18,3.18,RU,2023-06-05,18:30:15
82,port alfred,-33.5906,26.891,13.54,67,100,2.56,ZA,2023-06-05,18:30:16
83,salinopolis,-0.6136,-47.3561,25.49,88,37,4.54,BR,2023-06-05,18:30:16
84,mugia,43.1041,-9.2179,17.17,84,13,2.48,ES,2023-06-05,18:30:16
85,ridder,50.355,83.5133,18.94,59,1,2.11,KZ,2023-06-05,18:30:16
86,vila velha,-20.3297,-40.2925,21.08,89,20,1.54,BR,2023-06-05,18:30:17
87,katra,32.9833,74.95,18.67,58,0,4.22,IN,2023-06-05,18:30:17
88,sitka,57.0531,-135.33,9.94,76,75,4.63,US,2023-06-05,18:30:17
89,enewetak,11.3474,162.3373,27.87,80,87,3.73,MH,2023-06-05,18:30:17
90,la ronge,55.1001,-105.2842,31.14,35,75,3.09,CA,2023-06-05,18:30:17
91,remire-montjoly,4.9167,-52.2667,27.02,83,0,1.03,GF,2023-06-05,18:30:17
92,balikpapan,-1.2675,116.8289,24.55,94,20,3.09,ID,2023-06-05,18:30:17
93,lagunas,-5.2269,-75.6753,22.66,96,62,1.15,PE,2023-06-05,18:30:18
94,udachny,66.4167,112.4,1.36,80,93,6.16,RU,2023-06-05,18:30:18
95,olonkinbyen,70.9221,-8.7187,-0.12,85,53,2.62,SJ,2023-06-05,18:30:18
96,iqaluit,63.7506,-68.5145,2.61,74,75,2.06,CA,2023-06-05,18:30:18
97,selfoss,63.9331,-20.9971,7.25,74,24,3.57,IS,2023-06-05,18:18:58
98,invercargill,-46.4,168.35,7.34,78,26,1.58,NZ,2023-06-05,18:30:18
99,puerto ayora,-0.7393,-90.3518,26.42,94,84,2.68,EC,2023-06-05,18:30:19
100,felege neway,6.3,36.8833,17.92,88,99,1.04,ET,2023-06-05,18:30:19
101,villa gesell,-37.2639,-56.973,8.36,66,75,4.64,AR,2023-06-05,18:23:16
102,olsberg,51.35,8.5,12.68,87,30,0.98,DE,2023-06-05,18:30:19
103,luancheng,37.8792,114.6517,25.09,18,6,2.41,CN,2023-06-05,18:30:19
104,northport,33.229,-87.5772,26.9,65,0,1.54,US,2023-06-05,18:30:19
105,labrador city,52.9463,-66.9114,8.95,76,75,6.17,CA,2023-06-05,18:30:11
106,sao joao da barra,-21.6403,-41.0511,20.05,83,0,2.21,BR,2023-06-05,18:30:19
107,whitehorse,60.7161,-135.0538,16.43,51,100,5.66,CA,2023-06-05,18:26:27
108,constantia,44.1833,28.65,12.61,62,13,4.1,RO,2023-06-05,18:30:20
109,port saint john's,-31.6229,29.5448,14.79,57,98,2.12,ZA,2023-06-05,18:30:20
110,castillos,-34.1667,-53.8333,9.31,83,49,0.87,UY,2023-06-05,18:30:20
111,port mathurin,-19.6833,63.4167,24.7,72,14,10.19,MU,2023-06-05,18:30:20
112,hawaiian paradise park,19.5933,-154.9731,27.8,73,40,5.14,US,2023-06-05,18:30:20
113,alpine,32.835,-116.7664,22.17,60,75,4.63,US,2023-06-05,18:30:21
114,nar'yan-mar,67.6713,53.087,4.5,72,90,10.78,RU,2023-06-05,18:30:21
115,williams lake,52.1415,-122.1445,17.76,21,75,1.54,CA,2023-06-05,18:30:21
116,kapuskasing,49.4169,-82.4331,16.05,44,20,5.66,CA,2023-06-05,18:30:21
117,college,64.8569,-147.8028,22.48,28,40,2.06,US,2023-06-05,18:27:25
118,bonny,4.4522,7.1681,25.77,88,100,3.97,NG,2023-06-05,18:30:21
119,bonthe,7.5264,-12.505,26.06,87,98,3.23,SL,2023-06-05,18:30:22
120,papatowai,-46.5619,169.4708,9.48,68,19,2.42,NZ,2023-06-05,18:30:22
121,turbat,26.0023,63.044,32.94,30,42,1.71,PK,2023-06-05,18:30:22
122,port elizabeth,-33.918,25.5701,9.16,81,0,1.03,ZA,2023-06-05,18:30:22
123,rongelap,11.1635,166.8941,27.89,78,72,7.8,MH,2023-06-05,18:30:22
124,klyuchi,52.2667,79.1667,22.55,58,8,3.01,RU,2023-06-05,18:30:22
125,kodiak,57.79,-152.4072,7.73,93,100,9.26,US,2023-06-05,18:30:23
126,vadso,70.0744,29.7487,3.49,81,75,6.69,NO,2023-06-05,18:30:23
127,nova sintra,14.8667,-24.7167,20.82,80,8,2.75,CV,2023-06-05,18:30:23
128,joao pinheiro,-17.7425,-46.1725,17.27,41,99,2.1,BR,2023-06-05,18:30:23
129,longyearbyen,78.2186,15.6401,-2.77,83,40,0.17,SJ,2023-06-05,18:30:23
130,hamilton,39.1834,-84.5333,27.12,33,0,4.63,US,2023-06-05,18:26:56
131,queenstown,-31.8976,26.8753,6.76,42,100,1.55,ZA,2023-06-05,18:30:24
132,sant antoni de portmany,38.9807,1.3036,19.98,86,0,2.24,ES,2023-06-05,18:30:24
133,katabu,-4.9333,122.5167,26.36,73,25,2.75,ID,2023-06-05,18:30:24
134,dhidhdhoo,6.8833,73.1,27.88,77,100,4.35,MV,2023-06-05,18:30:24
135,puerto baquerizo moreno,-0.9,-89.6,25.94,83,91,4.52,EC,2023-06-05,18:30:24
136,vilyuchinsk,52.9306,158.4028,11.15,87,100,1.61,RU,2023-06-05,18:30:25
137,cascais,38.6979,-9.4215,21.7,68,69,4.47,PT,2023-06-05,18:30:25
138,myeik,12.4333,98.6,27.29,84,100,5.86,MM,2023-06-05,18:30:25
139,tari,12.4086,4.4914,30.99,50,94,2.52,NG,2023-06-05,18:30:25
140,fort mcmurray,56.7268,-111.381,25.77,65,75,3.09,CA,2023-06-05,18:30:10
141,iskateley,67.6803,53.1512,4.46,72,90,10.68,RU,2023-06-05,18:30:25
142,minas de marcona,-15.2119,-75.1103,14.18,82,4,4.4,PE,2023-06-05,18:30:25
143,montagu,-40.7667,144.9667,13.83,92,100,5.86,AU,2023-06-05,18:30:26
144,mahibadhoo,3.7833,72.9667,27.99,77,99,5.24,MV,2023-06-05,18:30:26
145,amga,60.8953,131.9608,14.5,50,99,2.98,RU,2023-06-05,18:30:26
146,kilindoni,-7.9139,39.6668,26.02,75,5,5.52,TZ,2023-06-05,18:30:26
147,tabuk,17.4189,121.4443,25.95,85,47,1.47,PH,2023-06-05,18:22:24
148,babu,24.4167,111.5167,26.28,90,35,1.66,CN,2023-06-05,18:30:26
149,cape coast,5.1053,-1.2466,26.1,86,100,4.07,GH,2023-06-05,18:30:26
150,richards bay,-28.783,32.0377,17.12,62,80,1.44,ZA,2023-06-05,18:30:27
151,qorveh,35.1664,47.8045,15.9,35,89,1.18,IR,2023-06-05,18:30:27
152,yingkou,40.6648,122.2283,19.76,72,57,2.58,CN,2023-06-05,18:30:27
153,nyagan,62.1406,65.3936,12.11,59,0,1.42,RU,2023-06-05,18:30:27
154,corralejo,28.7424,-13.8684,22.06,78,91,2.38,ES,2023-06-05,18:30:27
155,callao,-12.0667,-77.15,23.16,73,100,7.2,PE,2023-06-05,18:30:27
156,kalmunai,7.4167,81.8167,26.75,79,87,1.27,LK,2023-06-05,18:30:28
157,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,58,75,2.0,RU,2023-06-05,18:30:28
158,dwarka,22.2394,68.9678,28.11,83,10,7.52,IN,2023-06-05,18:30:28
159,pregradnaya,43.9508,41.1994,13.19,98,100,0.23,RU,2023-06-05,18:30:28
160,margate,51.3813,1.3862,11.61,75,15,4.02,GB,2023-06-05,18:30:28
161,lawas,13.764,121.0566,28.37,76,83,1.69,PH,2023-06-05,18:30:29
162,tiksi,71.6872,128.8694,1.9,94,100,1.54,RU,2023-06-05,18:30:29
163,touros,-5.1989,-35.4608,25.33,83,31,4.98,BR,2023-06-05,18:30:29
164,tazovsky,67.4667,78.7,7.62,97,63,3.98,RU,2023-06-05,18:30:30
165,ingeniero jacobacci,-41.3427,-69.5448,11.0,71,79,9.16,AR,2023-06-05,18:30:30
166,khorugh,37.4897,71.553,9.92,82,23,0.24,TJ,2023-06-05,18:30:30
167,new norfolk,-42.7826,147.0587,13.29,81,94,1.13,AU,2023-06-05,18:30:30
168,kourou,5.1552,-52.6478,27.03,90,20,3.1,GF,2023-06-05,18:30:07
169,happy valley-goose bay,53.3168,-60.3315,13.17,54,75,6.17,CA,2023-06-05,18:30:30
170,saipan,15.1355,145.701,29.39,100,40,8.23,MP,2023-06-05,18:30:31
171,sandnessjoen,66.0217,12.6316,4.29,69,100,2.16,NO,2023-06-05,18:30:31
172,ko pha ngan,9.7578,100.0291,26.38,77,100,7.94,TH,2023-06-05,18:30:31
173,haiku-pauwela,20.9219,-156.3051,28.01,51,40,11.32,US,2023-06-05,18:30:31
